"Part";"Value";"Device";"Package";"Description";"";
"A0";"";"SOLDERJUMPER_2WAY";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";"2-Way Solder Jumper";"";
"A1";"";"SOLDERJUMPER_2WAY";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";"2-Way Solder Jumper";"";
"A2";"";"SOLDERJUMPER_2WAY";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";"2-Way Solder Jumper";"";
"BLUE";"220";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"DOWN";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"GREEN";"330";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"IC1";"MCP23017SP2";"MCP23017SP2";"DIL28-3-ROUND";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"";
"LEFT";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"RED";"220";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"RIGHT";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"SELECT";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"TM1";"10K";"TRIM";"6MM";"";"";
"U$1";"HD44780LCD_RGBLONGPINS";"HD44780LCD_RGBLONGPINS";"LCD1602-RGB";"";"";
"U$4";"RASPBERRYPI_BB";"RASPBERRYPI_BB";"RASBERRYPI_SHIELD";"";"";
"UP";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
